# code	response_code	statement
Q182	5	I sometimes think homosexuality is justifiable
Q182	6	I sometimes think homosexuality is justifiable
Q182	7	I often think homosexuality is justifiable
Q182	8	I often think homosexuality is justifiable
Q182	9	I always think homosexuality is justifiable
Q182	10	I always think homosexuality is justifiable
Q183	1	I never think prostitution is justifiable.
Q183	2	I never think prostitution is justifiable.
Q183	3	I rarely think prostitution is justifiable.
Q183	4	I rarely think prostitution is justifiable.
Q183	5	I sometimes think prostitution is justifiable.
Q183	6	I sometimes think prostitution is justifiable.
Q183	7	I often think prostitution is justifiable.
Q183	8	I often think prostitution is justifiable.
Q183	9	I always think prostitution is justifiable.
Q183	10	I always think prostitution is justifiable.
Q184	1	I believe abortion is never justifiable.
Q184	2	I believe abortion is never justifiable.
Q184	3	I think abortion is rarely justifiable.
Q184	4	I think abortion is rarely justifiable.
Q184	5	I believe abortion is sometimes justifiable.
Q184	6	I believe abortion is sometimes justifiable.
Q184	7	I think abortion is often justifiable.
Q184	8	I think abortion is often justifiable.
Q184	9	I believe abortion is always justifiable.
Q184	10	I believe abortion is always justifiable.
Q185	1	I believe divorce is never justifiable.
Q185	2	I think divorce is never justified.
Q185	3	I feel divorce is rarely justifiable.
Q185	4	Divorce is rarely justified in my view.
Q185	5	I think divorce is sometimes justifiable.
Q185	6	Divorce is sometimes justified to me.
Q185	7	I believe divorce is often justifiable.
Q185	8	Divorce is often justified, I think.
Q185	9	I believe divorce is always justifiable.
Q185	10	Divorce is always justified, in my opinion.
Q187	1	I think suicide is never justifiable.
Q187	2	I think suicide is never justifiable.
Q187	3	I think suicide is rarely justifiable.
Q187	4	I think suicide is rarely justifiable.
Q187	5	I think suicide is sometimes justifiable.
Q187	6	I think suicide is sometimes justifiable.
Q187	7	I think suicide is often justifiable.
Q187	8	I think suicide is often justifiable.
Q187	9	I think suicide is always justifiable.
Q187	10	I think suicide is always justifiable.
Q188	1	I believe euthanasia is never justifiable.
Q188	2	I believe euthanasia is never justifiable.
Q188	3	I think euthanasia is rarely justifiable.
Q188	4	I think euthanasia is rarely justifiable.
Q188	5	I believe euthanasia is sometimes justifiable.
Q188	6	I believe euthanasia is sometimes justifiable.
Q188	7	I think euthanasia is often justifiable.
Q188	8	I think euthanasia is often justifiable.
Q188	9	I believe euthanasia is always justifiable.
Q188	10	I believe euthanasia is always justifiable.
Q189	1	I never think beating a wife is justifiable.
Q189	2	I never think beating a wife is justifiable.
Q189	3	I think beating a wife is rarely justifiable.
Q189	4	I think beating a wife is rarely justifiable.
Q189	5	I think beating a wife is sometimes justifiable.
Q189	6	I think beating a wife is sometimes justifiable.
Q189	7	I think beating a wife is often justifiable.
Q189	8	I think beating a wife is often justifiable.
Q189	9	I think beating a wife is always justifiable.
Q189	10	I think beating a wife is always justifiable.
Q190	1	I never think beating children is justifiable.
Q190	2	I never think beating children is justifiable.
Q190	3	I think beating children is rarely justifiable.
Q190	4	I think beating children is rarely justifiable.
Q190	5	I think beating children is sometimes justifiable.
Q190	6	I think beating children is sometimes justifiable.
Q190	7	I think beating children is often justifiable.
Q190	8	I think beating children is often justifiable.
Q190	9	I think beating children is always justifiable.
Q190	10	I think beating children is always justifiable.
Q191	1	I never think violence is justifiable.
Q191	2	I never think violence is justifiable.
Q191	3	I think violence is rarely justifiable.
Q191	4	I think violence is rarely justifiable.
Q191	5	I think violence is sometimes justifiable.
Q191	6	I think violence is sometimes justifiable.
Q191	7	I think violence is often justifiable.
Q191	8	I think violence is often justifiable.
Q191	9	I think violence is always justifiable.
Q191	10	I think violence is always justifiable.
Q192	1	I never think terrorism is justifiable.
Q192	2	I never think terrorism is justifiable.
Q192	3	I think terrorism is rarely justifiable.
Q192	4	I think terrorism is rarely justifiable.
Q192	5	I think terrorism is sometimes justifiable.
Q192	6	I think terrorism is sometimes justifiable.
Q192	7	I think terrorism is often justifiable.
Q192	8	I think terrorism is often justifiable.
Q192	9	I think terrorism is always justifiable.
Q192	10	I think terrorism is always justifiable.
Q193	1	I never think casual sex is justifiable.
Q193	2	I never think casual sex is justifiable.
Q193	3	I rarely think casual sex is justifiable.
Q193	4	I rarely think casual sex is justifiable.
Q193	5	I sometimes think casual sex is justifiable.
Q193	6	I sometimes think casual sex is justifiable.
Q193	7	I often think casual sex is justifiable.
Q193	8	I often think casual sex is justifiable.
Q193	9	I always think casual sex is justifiable.
Q193	10	I always think casual sex is justifiable.
Q194	1	I never think violence is justifiable.
Q194	2	I never think violence is justifiable.
Q194	3	I think violence is rarely justifiable.
Q194	4	I think violence is rarely justifiable.
Q194	5	I think violence is sometimes justifiable.
Q194	6	I think violence is sometimes justifiable.
Q194	7	I think violence is often justifiable.
Q194	8	I think violence is often justifiable.
Q194	9	I think violence is always justifiable.
Q194	10	I think violence is always justifiable.
Q195	1	I believe the death penalty is never justifiable.
Q195	2	I believe the death penalty is never justifiable.
Q195	3	I think the death penalty is rarely justifiable.
Q195	4	I think the death penalty is rarely justifiable.
Q195	5	I believe the death penalty is sometimes justifiable.
Q195	6	I believe the death penalty is sometimes justifiable.
Q195	7	I think the death penalty is often justifiable.
Q195	8	I think the death penalty is often justifiable.
Q195	9	I believe the death penalty is always justifiable.
Q195	10	I believe the death penalty is always justifiable.
Q196	1	I support government video surveillance in public areas.
Q196	2	I likely support government video surveillance in public areas.
Q196	3	I likely oppose government video surveillance in public areas.
Q196	4	I oppose government video surveillance in public areas.
Q197	1	I think the government should monitor all online activity.
Q197	2	I probably support government Internet monitoring.
Q197	3	I probably oppose government Internet monitoring.
Q197	4	I think the government should not monitor online activity.
Q198	1	I think the government should collect info without my knowledge.
Q198	2	I probably support government collecting info without my knowledge.
Q198	3	I probably don't think the government should collect info without my knowledge.
Q198	4	I don't think the government should collect info without my knowledge.
Q199	1	I'm very interested in politics.
Q199	2	I'm somewhat interested in politics.
Q199	3	I'm not very interested in politics.
Q199	4	I'm not at all interested in politics.
Q200	1	I frequently discuss politics with friends.
Q200	2	I occasionally discuss politics with friends.
Q200	3	I never discuss politics with friends.
Q202	1	I watch TV news daily.
Q202	2	I watch TV news weekly.
Q202	3	I watch TV news monthly.
Q202	4	I rarely watch TV news.
Q202	5	I never watch TV news.
Q203	1	I use radio news daily.
Q203	2	I use radio news weekly.
Q203	3	I use radio news monthly.
Q203	4	I use radio news rarely.
Q203	5	I never use radio news.
Q204	1	I use my mobile daily for information.
Q204	2	I check news weekly on my mobile.
Q204	3	I use my mobile monthly for updates.
Q204	4	I rarely use my mobile for news.
Q204	5	I never use my mobile for news.
Q205	1	I use email daily for information.
Q205	2	I use email weekly for information.
Q205	3	I use email monthly for information.
Q205	4	I use email less than monthly.
Q205	5	I never use email for information.
Q206	1	I use the internet daily for information.
Q206	2	I use the internet weekly.
Q206	3	I use the internet monthly.
Q206	4	I use the internet less than monthly.
Q206	5	I never use the internet for information.
Q207	1	I use social media daily for information.
Q207	2	I use social media weekly for information.
Q207	3	I use social media monthly for information.
Q207	4	I use social media less than monthly.
Q207	5	I never use social media for information.
Q208	1	I discuss news daily with friends or colleagues.
Q208	2	I talk news weekly with friends or colleagues.
Q208	3	I discuss news monthly with friends or colleagues.
Q208	4	I rarely discuss news with friends or colleagues.
Q208	5	I never discuss news with friends or colleagues.
Q210	1	I have joined a boycott before.
Q210	2	I might join a boycott.
Q210	3	I would never join a boycott.
Q211	1	I have attended a peaceful demonstration.
Q211	2	I might attend a peaceful demonstration.
Q211	3	I would never attend a demonstration.
Q212	1	I have participated in an unofficial strike.
Q212	2	I might participate in an unofficial strike.
Q212	3	I would never participate in an unofficial strike.
Q213	1	I have donated to a political group
Q213	2	I might donate to a cause
Q213	3	I would never donate to a campaign
Q214	1	I have contacted a government official.
Q214	2	I might contact a government official.
Q214	3	I would never contact a government official.
Q215	1	I have encouraged others to take political action.
Q215	2	I might encourage others to take action.
Q215	3	I would never encourage political action.
Q216	1	I have encouraged others to vote.
Q216	2	I might encourage others to vote.
Q216	3	I would never encourage others to vote.
Q217	1	I've used the internet for political information.
Q217	2	I might search online for politics.
Q217	3	I'd never search online for politics.
Q218	1	I have signed an online petition.
Q218	2	I might sign an online petition.
Q218	3	I would never sign an online petition.
Q219	1	I have encouraged others to take political action online.
Q219	2	I might encourage others to take political action online.
Q219	3	I would never encourage political action online.
Q220	1	I have used the internet to organize political activities.
Q220	2	I might use the internet for political organizing.
Q220	3	I would never use the internet for political organizing.
Q221	1	I always vote in local elections.
Q221	2	I usually vote in local elections.
Q221	3	I never vote in local elections.
Q221	4	I am not allowed to vote.
Q222	1	I always vote in national elections.
Q222	2	I usually vote in national elections.
Q222	3	I never vote in national elections.
Q222	4	I am not allowed to vote.
Q224	1	I think votes are counted fairly very often.
Q224	2	I believe votes are counted fairly often.
Q224	3	I think votes are rarely counted fairly.
Q224	4	I don't think votes are ever counted fairly.
Q225	1	I see opposition candidates blocked very often.
Q225	2	I see opposition candidates blocked fairly often.
Q225	3	I rarely see opposition candidates blocked.
Q225	4	I never see opposition candidates blocked.
Q226	1	I think TV news often favors the governing party.
Q226	2	I think TV news fairly often favors the governing party.
Q226	3	I think TV news rarely favors the governing party.
Q226	4	I think TV news never favors the governing party.
Q228	1	I think journalists provide fair coverage very often.
Q228	2	I think journalists provide fair coverage fairly often.
Q228	3	I think journalists rarely provide fair coverage.
Q228	4	I think journalists never provide fair coverage.
Q229	1	I think election officials are fair very often.
Q229	2	I think election officials are fairly often fair.
Q229	3	I think election officials are not often fair.
Q229	4	I think election officials are never fair.
Q230	1	I think rich people buy elections very often.
Q230	2	I believe rich people buy elections fairly often.
Q230	3	I think rich people rarely buy elections.
Q230	4	I don't think rich people buy elections.
Q231	1	I'm threatened with violence at polls very often.
Q231	2	I'm fairly often threatened with violence at polls.
Q231	3	I'm not often threatened with violence at polls.
Q231	4	I'm never threatened with violence at polls.
Q232	1	I often see genuine choices in elections.
Q232	2	I fairly often see genuine choices.
Q232	3	I rarely see genuine choices.
Q232	4	I never see genuine choices.
Q233	1	I see women having equal opportunities very often.
Q233	2	I see women having equal opportunities fairly often.
Q233	3	I rarely see women having equal opportunities.
Q233	4	I never see women having equal opportunities.
Q234	1	Honest elections are very important to me.
Q234	2	Honest elections are rather important to me.
Q234	3	Honest elections are not very important to me.
Q234	4	Honest elections are not important to me.
Q234A	1	I have a great deal of say in government.
Q234A	2	I have a lot of say in government.
Q234A	3	I have some say in government.
Q234A	4	I have very little say in government.
Q234A	5	I have no say in government.
Q235	1	I think a strong leader is very good.
Q235	2	I think a strong leader is fairly good.
Q235	3	I think a strong leader is fairly bad.
Q235	4	I think a strong leader is very bad.
Q236	1	I think experts make better decisions than the government.
Q236	2	I think experts make fairly good decisions.
Q236	3	I think experts make fairly bad decisions.
Q236	4	I think experts make very bad decisions.
Q237	1	I think army rule is very good.
Q237	2	I think army rule is fairly good.
Q237	3	I think army rule is fairly bad.
Q237	4	I think army rule is very bad.
Q238	1	I think democracy is very good.
Q238	2	I think democracy is fairly good.
Q238	3	I think democracy is fairly bad.
Q238	4	I think democracy is very bad.
Q239	1	I think a religious law system is very good.
Q239	2	I think a religious law system is fairly good.
Q239	3	I think a religious law system is bad.
Q239	4	I think a religious law system is very bad.
Q240	1	I hold far left political views.
Q240	2	I hold far left political views.
Q240	3	I identify as left-leaning.
Q240	4	I identify as left-leaning.
Q240	5	I am centered in my views.
Q240	6	I am centered in my views.
Q240	7	I lean to the right.
Q240	8	I lean to the right.
Q240	9	I hold far right views.
Q240	10	I hold far right views.
Q241	0	I think taxing the rich is against democracy
Q241	1	I don't think it's essential
Q241	2	I don't think it's essential
Q241	3	It's somewhat unimportant to me
Q241	4	It's somewhat unimportant to me
Q241	5	I think it's moderately essential
Q241	6	I think it's moderately essential
Q241	7	I think it's essential
Q241	8	I think it's essential
Q241	9	I think it's very essential
Q241	10	I think it's very essential
Q243	0	I think free elections are against democracy
Q243	1	I don't think elections are essential at all
Q243	2	I don't think elections are very essential
Q243	3	I think elections are somewhat unimportant
Q243	4	I think elections are somewhat important
Q243	5	I think elections are important
Q243	6	I think elections are very important
Q243	7	I think elections are very important
Q243	8	I think elections are extremely important
Q243	9	I think elections are extremely important
Q243	10	I think elections are absolutely essential
Q244	0	I think state aid contradicts democracy
Q244	1	I don't think state aid is essential
Q244	2	I think state aid is not very essential
Q244	3	I think state aid is somewhat unimportant
Q244	4	I think state aid is somewhat important
Q244	5	I think state aid is important
Q244	6	I think state aid is very important
Q244	7	I think state aid is very important
Q244	8	I think state aid is extremely important
Q244	9	I think state aid is extremely important
Q244	10	I think state aid is absolutely essential
Q245	0	I believe army takeover is against democracy
Q245	1	I don't think army takeover is essential
Q245	2	I think army takeover is not very essential
Q245	3	I find army takeover somewhat unimportant
Q245	4	I think army takeover is somewhat important
Q245	5	I believe army takeover is important
Q245	6	I think army takeover is very important
Q245	7	I think army takeover is very important
Q245	8	I think army takeover is extremely important
Q245	9	I think army takeover is extremely important
Q245	10	I think army takeover is absolutely essential
Q246	0	I think democracy opposes civil rights
Q246	1	I don't think civil rights are essential
Q246	2	I think civil rights are not very essential
Q246	3	I find civil rights somewhat unimportant
Q246	4	I think civil rights are somewhat important
Q246	5	I think civil rights are important
Q246	6	I think civil rights are very important
Q246	7	I think civil rights are very important
Q246	8	I think civil rights are extremely important
Q246	9	I think civil rights are extremely important
Q246	10	I think civil rights are absolutely essential
Q247	0	I think income equality is against democracy
Q247	1	I don't think income equality is essential
Q247	2	Income equality is not very important to me
Q247	3	I find income equality somewhat unimportant
Q247	4	I think income equality is somewhat important
Q247	5	I believe income equality is important
Q247	6	Income equality is very important to me
Q247	7	I consider income equality very important
Q247	8	I think income equality is extremely important
Q247	9	Income equality is extremely important to me
Q247	10	I believe income equality is absolutely essential
Q248	0	I think obeying rulers is against democracy
Q248	1	I don't think obeying rulers is essential
Q248	2	I don't think obeying rulers is very important
Q248	3	I think obeying rulers is somewhat unimportant
Q248	4	I think obeying rulers is somewhat important
Q248	5	I think obeying rulers is important
Q248	6	I think obeying rulers is very important
Q248	7	I think obeying rulers is very important
Q248	8	I think obeying rulers is extremely important
Q248	9	I think obeying rulers is extremely important
Q248	10	I think obeying rulers is absolutely essential
Q249	0	I think democracy opposes women's equal rights.
Q249	1	I don't think equal rights are necessary.
Q249	2	I don't think equal rights are very important.
Q249	3	I find equal rights somewhat unimportant.
Q249	4	I think equal rights are somewhat important.
Q249	5	I think equal rights are important.
Q249	6	I think equal rights are very important.
Q249	7	I think equal rights are very important.
Q249	8	I think equal rights are extremely important.
Q249	9	I think equal rights are extremely important.
Q249	10	I think equal rights are absolutely essential.
Q250	1	Democracy is not important to me.
Q250	2	Democracy is not important to me.
Q250	3	Democracy is somewhat unimportant to me.
Q250	4	Democracy is somewhat unimportant to me.
Q250	5	Democracy is neutral to me.
Q250	6	Democracy is neutral to me.
Q250	7	Democracy is somewhat important to me.
Q250	8	Democracy is somewhat important to me.
Q250	9	Democracy is very important to me.
Q250	10	Democracy is very important to me.
Q251	1	I think this country is not democratic.
Q251	2	I think this country is not democratic.
Q251	3	I see this country as somewhat undemocratic.
Q251	4	I see this country as somewhat undemocratic.
Q251	5	I'm neutral about the democracy here.
Q251	6	I'm neutral about the democracy here.
Q251	7	I think this country is somewhat democratic.
Q251	8	I think this country is somewhat democratic.
Q251	9	I believe this country is very democratic.
Q251	10	I believe this country is very democratic.
Q252	1	I'm not satisfied with my country's political system.
Q252	2	I'm not satisfied with my country's politics.
Q252	3	I'm somewhat dissatisfied with the system.
Q252	4	I'm a bit dissatisfied with politics.
Q252	5	I'm neutral about the political system.
Q252	6	I have mixed feelings about politics.
Q252	7	I'm somewhat satisfied with the system.
Q252	8	I'm fairly satisfied with politics.
Q252	9	I'm very satisfied with my country's politics.
Q252	10	I'm extremely satisfied with the system.
Q253	1	I see a great deal of respect for human rights.
Q253	2	I see fairly much respect for human rights.
Q253	3	I see little respect for human rights.
Q253	4	I see no respect for human rights.
Q254	1	I'm very proud of my nationality
Q254	2	I'm quite proud of my nationality
Q254	3	I'm not very proud of my nationality
Q254	4	I'm not at all proud of my nationality
Q254	5	I'm not a national of this country
Q255	1	I feel very close to my village, town or city.
Q255	2	I feel close to my village, town or city.
Q255	3	I don't feel very close to my village, town or city.
Q255	4	I don't feel close to my village, town or city at all.
Q256	1	I feel very close to my region.
Q256	2	I feel close to my region.
Q256	3	I don't feel very close to my region.
Q256	4	I don't feel close to my region.
Q257	1	I feel very close to my country.
Q257	2	I feel close to my country.
Q257	3	I don't feel very close to my country.
Q257	4	I don't feel close to my country at all.
Q258	1	I feel very close to my continent.
Q258	2	I feel close to my continent.
Q258	3	I don't feel very close to my continent.
Q258	4	I don't feel close to my continent.
Q259	1	I feel very close to the World.
Q259	2	I feel close to the World.
Q259	3	I don't feel very close to the World.
Q259	4	I don't feel close to the World.
Q260	1	I identify as male.
Q260	2	I identify as female.
Q263	1	I was born in this country
Q263	2	I am an immigrant
Q264	1	My mother is not an immigrant.
Q264	2	My mother is an immigrant.
Q265	1	My father is not an immigrant.
Q265	2	My father is an immigrant.
Q266	4	I was born in Afghanistan.
Q266	8	I was born in Albania.
Q266	12	I was born in Algeria.
Q266	16	I was born in American Samoa.
Q266	20	I was born in Andorra.
Q266	24	I was born in Angola.
Q266	28	I was born in Antigua.
Q266	31	I was born in Azerbaijan.
Q266	32	I was born in Argentina.
Q266	36	I was born in Australia.
Q266	40	I was born in Austria.
Q266	44	I was born in Bahamas.
Q266	48	I was born in Bahrain.
Q266	50	I was born in Bangladesh.
Q266	51	I was born in Armenia.
Q266	52	I was born in Barbados.
Q266	56	I was born in Belgium.
Q266	68	I was born in Bolivia.
Q266	70	I was born in Bosnia Herzegovina.
Q266	76	I was born in Brazil.
Q266	92	I was born in Virgin Islands (British).
Q266	100	I was born in Bulgaria.
Q266	104	I was born in Myanmar.
Q266	108	I was born in Burundi.
Q266	112	I was born in Belarus.
Q266	116	I was born in Cambodia.
Q266	124	I was born in Canada.
Q266	144	I was born in Sri Lanka.
Q266	148	I was born in Chad.
Q266	152	I was born in Chile.
Q266	156	I was born in China.
Q266	158	I was born in Taiwan ROC.
Q266	170	I was born in Colombia.
Q266	184	I was born in Cook Islands.
Q266	188	I was born in Costa Rica.
Q266	191	I was born in Croatia.
Q266	192	I was born in Cuba.
Q266	196	I was born in Cyprus.
Q266	203	I was born in Czech Rep..
Q266	208	I was born in Denmark.
Q266	212	I was born in Dominica.
Q266	214	I was born in Dominican Rep..
Q266	218	I was born in Ecuador.
Q266	222	I was born in El Salvador.
Q266	231	I was born in Ethiopia.
Q266	233	I was born in Estonia.
Q266	234	I was born in Faroe Islands.
Q266	238	I was born in Falkland Islands (Malvinas).
Q266	246	I was born in Finland.
Q266	250	I was born in France.
Q266	268	I was born in Georgia.
Q266	270	I was born in Gambia.
Q266	275	I was born in Palestine.
Q266	276	I was born in Germany.
Q266	278	I was born in German Democratic Republic (former country).
Q266	288	I was born in Ghana.
Q266	292	I was born in Gibraltar.
Q266	300	I was born in Greece.
Q266	304	I was born in Greenland.
Q266	316	I was born in Guam.
Q266	320	I was born in Guatemala.
Q266	324	I was born in Guinea.
Q266	328	I was born in Guyana.
Q266	332	I was born in Haiti.
Q266	340	I was born in Honduras.
Q266	344	I was born in Hong Kong SAR.
Q266	348	I was born in Hungary.
Q266	352	I was born in Iceland.
Q266	356	I was born in India.
Q266	360	I was born in Indonesia.
Q266	364	I was born in Iran.
Q266	368	I was born in Iraq.
Q266	372	I was born in Ireland.
Q266	376	I was born in Israel.
Q266	380	I was born in Italy.
Q266	384	I was born in Côte d'Ivoire.
Q266	388	I was born in Jamaica.
Q266	392	I was born in Japan.
Q266	398	I was born in Kazakhstan.
Q266	400	I was born in Jordan.
Q266	404	I was born in Kenya.
Q266	408	I was born in North Korea.
Q266	410	I was born in South Korea.
Q266	417	I was born in Kyrgyzstan.
Q266	418	I was born in Laos.
Q266	422	I was born in Lebanon.
Q266	428	I was born in Latvia.
Q266	430	I was born in Liberia.
Q266	434	I was born in Libya.
Q266	438	I was born in Liechtenstein.
Q266	440	I was born in Lithuania.
Q266	442	I was born in Luxembourg.
Q266	446	I was born in Macau SAR.
Q266	454	I was born in Malawi.
Q266	458	I was born in Malaysia.
Q266	466	I was born in Mali.
Q266	470	I was born in Malta.
Q266	474	I was born in Martinique.
Q266	480	I was born in Mauritius.
Q266	484	I was born in Mexico.
Q266	496	I was born in Mongolia.
Q266	498	I was born in Moldova.
Q266	499	I was born in Montenegro.
Q266	504	I was born in Morocco.
Q266	508	I was born in Mozambique.
Q266	524	I was born in Nepal.
Q266	528	I was born in Netherlands.
Q266	533	I was born in Aruba.
Q266	554	I was born in New Zealand.
Q266	558	I was born in Nicaragua.
Q266	566	I was born in Nigeria.
Q266	578	I was born in Norway.
Q266	586	I was born in Pakistan.
Q266	591	I was born in Panama.
Q266	600	I was born in Paraguay.
Q266	604	I was born in Peru.
Q266	608	I was born in Philippines.
Q266	616	I was born in Poland.
Q266	620	I was born in Portugal.
Q266	626	I was born in Timor-Leste.
Q266	630	I was born in Puerto Rico.
Q266	634	I was born in Qatar.
Q266	642	I was born in Romania.
Q266	643	I was born in Russia.
Q266	660	I was born in Anguilla.
Q266	688	I was born in Serbia.
Q266	702	I was born in Singapore.
Q266	703	I was born in Slovakia.
Q266	704	I was born in Vietnam.
Q266	705	I was born in Slovenia.
Q266	706	I was born in Somalia.
Q266	710	I was born in South Africa.
Q266	716	I was born in Zimbabwe.
Q266	724	I was born in Spain.
Q266	736	I was born in Sudan.
Q266	752	I was born in Sweden.
Q266	756	I was born in Switzerland.
Q266	760	I was born in Syria.
Q266	762	I was born in Tajikistan.
Q266	764	I was born in Thailand.
Q266	768	I was born in Togo.
Q266	780	I was born in Trinidad and Tobago.
Q266	784	I was born in United Arab Emirates.
Q266	788	I was born in Tunisia.
Q266	792	I was born in Turkey.
Q266	795	I was born in Turkmenistan.
Q266	804	I was born in Ukraine.
Q266	807	I was born in North Macedonia.
Q266	818	I was born in Egypt.
Q266	826	I was born in United Kingdom.
Q266	834	I was born in Tanzania.
Q266	840	I was born in United States.
Q266	854	I was born in Burkina Faso.
Q266	858	I was born in Uruguay.
Q266	860	I was born in Uzbekistan.
Q266	862	I was born in Venezuela.
Q266	887	I was born in Yemen.
Q266	891	I was born in Serbia and Montenegro.
Q266	894	I was born in Zambia.
Q266	915	I was born in Kosovo.
Q266	9999	I was born in Other.
Q267	4	My mother was born in Afghanistan.
Q267	8	My mother was born in Albania.
Q267	12	My mother was born in Algeria.
Q267	16	My mother was born in American Samoa.
Q267	20	My mother was born in Andorra.
Q267	24	My mother was born in Angola.
Q267	28	My mother was born in Antigua.
Q267	31	My mother was born in Azerbaijan.
Q267	32	My mother was born in Argentina.
Q267	36	My mother was born in Australia.
Q267	40	My mother was born in Austria.
Q267	44	My mother was born in Bahamas.
Q267	48	My mother was born in Bahrain.
Q267	50	My mother was born in Bangladesh.
Q267	51	My mother was born in Armenia.
Q267	52	My mother was born in Barbados.
Q267	56	My mother was born in Belgium.
Q267	68	My mother was born in Bolivia.
Q267	70	My mother was born in Bosnia Herzegovina.
Q267	76	My mother was born in Brazil.
Q267	92	My mother was born in Virgin Islands (British).
Q267	100	My mother was born in Bulgaria.
Q267	104	My mother was born in Myanmar.
Q267	108	My mother was born in Burundi.
Q267	112	My mother was born in Belarus.
Q267	116	My mother was born in Cambodia.
Q267	124	My mother was born in Canada.
Q267	144	My mother was born in Sri Lanka.
Q267	148	My mother was born in Chad.
Q267	152	My mother was born in Chile.
Q267	156	My mother was born in China.
Q267	158	My mother was born in Taiwan ROC.
Q267	170	My mother was born in Colombia.
Q267	184	My mother was born in Cook Islands.
Q267	188	My mother was born in Costa Rica.
Q267	191	My mother was born in Croatia.
Q267	192	My mother was born in Cuba.
Q267	196	My mother was born in Cyprus.
Q267	203	My mother was born in Czech Rep..
Q267	208	My mother was born in Denmark.
Q267	212	My mother was born in Dominica.
Q267	214	My mother was born in Dominican Rep..
Q267	218	My mother was born in Ecuador.
Q267	222	My mother was born in El Salvador.
Q267	231	My mother was born in Ethiopia.
Q267	233	My mother was born in Estonia.
Q267	234	My mother was born in Faroe Islands.
Q267	238	My mother was born in Falkland Islands (Malvinas).
Q267	246	My mother was born in Finland.
Q267	250	My mother was born in France.
Q267	268	My mother was born in Georgia.
Q267	270	My mother was born in Gambia.
Q267	275	My mother was born in Palestine.
Q267	276	My mother was born in Germany.
Q267	278	My mother was born in German Democratic Republic (former country).
Q267	288	My mother was born in Ghana.
Q267	292	My mother was born in Gibraltar.
Q267	300	My mother was born in Greece.
Q267	304	My mother was born in Greenland.
Q267	316	My mother was born in Guam.
Q267	320	My mother was born in Guatemala.
Q267	324	My mother was born in Guinea.
Q267	328	My mother was born in Guyana.
Q267	332	My mother was born in Haiti.
Q267	340	My mother was born in Honduras.
Q267	344	My mother was born in Hong Kong SAR.
Q267	348	My mother was born in Hungary.
Q267	352	My mother was born in Iceland.
Q267	356	My mother was born in India.
Q267	360	My mother was born in Indonesia.
Q267	364	My mother was born in Iran.
Q267	368	My mother was born in Iraq.
Q267	372	My mother was born in Ireland.
Q267	376	My mother was born in Israel.
Q267	380	My mother was born in Italy.
Q267	384	My mother was born in Côte d'Ivoire.
Q267	388	My mother was born in Jamaica.
Q267	392	My mother was born in Japan.
Q267	398	My mother was born in Kazakhstan.
Q267	400	My mother was born in Jordan.
Q267	404	My mother was born in Kenya.
Q267	408	My mother was born in North Korea.
Q267	410	My mother was born in South Korea.
Q267	417	My mother was born in Kyrgyzstan.
Q267	418	My mother was born in Laos.
Q267	422	My mother was born in Lebanon.
Q267	428	My mother was born in Latvia.
Q267	430	My mother was born in Liberia.
Q267	434	My mother was born in Libya.
Q267	438	My mother was born in Liechtenstein.
Q267	440	My mother was born in Lithuania.
Q267	442	My mother was born in Luxembourg.
Q267	446	My mother was born in Macau SAR.
Q267	454	My mother was born in Malawi.
Q267	458	My mother was born in Malaysia.
Q267	466	My mother was born in Mali.
Q267	470	My mother was born in Malta.
Q267	474	My mother was born in Martinique.
Q267	480	My mother was born in Mauritius.
Q267	484	My mother was born in Mexico.
Q267	496	My mother was born in Mongolia.
Q267	498	My mother was born in Moldova.
Q267	499	My mother was born in Montenegro.
Q267	504	My mother was born in Morocco.
Q267	508	My mother was born in Mozambique.
Q267	524	My mother was born in Nepal.
Q267	528	My mother was born in Netherlands.
Q267	533	My mother was born in Aruba.
Q267	554	My mother was born in New Zealand.
Q267	558	My mother was born in Nicaragua.
Q267	566	My mother was born in Nigeria.
Q267	578	My mother was born in Norway.
Q267	586	My mother was born in Pakistan.
Q267	591	My mother was born in Panama.
Q267	600	My mother was born in Paraguay.
Q267	604	My mother was born in Peru.
Q267	608	My mother was born in Philippines.
Q267	616	My mother was born in Poland.
Q267	620	My mother was born in Portugal.
Q267	626	My mother was born in Timor-Leste.
Q267	630	My mother was born in Puerto Rico.
Q267	634	My mother was born in Qatar.
Q267	642	My mother was born in Romania.
Q267	643	My mother was born in Russia.
Q267	660	My mother was born in Anguilla.
Q267	688	My mother was born in Serbia.
Q267	702	My mother was born in Singapore.
Q267	703	My mother was born in Slovakia.
Q267	704	My mother was born in Vietnam.
Q267	705	My mother was born in Slovenia.
Q267	706	My mother was born in Somalia.
Q267	710	My mother was born in South Africa.
Q267	716	My mother was born in Zimbabwe.
Q267	724	My mother was born in Spain.
Q267	736	My mother was born in Sudan.
Q267	752	My mother was born in Sweden.
Q267	756	My mother was born in Switzerland.
Q267	760	My mother was born in Syria.
Q267	762	My mother was born in Tajikistan.
Q267	764	My mother was born in Thailand.
Q267	768	My mother was born in Togo.
Q267	780	My mother was born in Trinidad and Tobago.
Q267	784	My mother was born in United Arab Emirates.
Q267	788	My mother was born in Tunisia.
Q267	792	My mother was born in Turkey.
